datetime,date,unknown_1,unknown_2,4-8_GHz_start,unknown_24,unknown_45,unknown_46,unknown_47,unknown_25,unknown_26,unknown_27,unknown_5,unknown_9,unknown_13,unknown_17,unknown_28,unknown_29,unknown_30,unknown_31,unknown_32,unknown_33,unknown_34,unknown_35,unknown_36,unknown_37,unknown_38,unknown_39,unknown_40,unknown_41,unknown_42,unknown_43,unknown_3,unknown_4,unknown_6,unknown_7,unknown_10,unknown_11,unknown_12,unknown_14,unknown_15,unknown_16,unknown_18,unknown_19,unknown_20,unknown_21,unknown_22,unknown_8,duty_officer,4-8_GHz_start_min
2022-03-16 00:00:00,2022-03-16,-25С,солнце,00 30,09 15,00 30,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2022-03-17 00:00:00,2022-03-17,-16С,облачно,00 30,09 15,00 30,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2022-03-18 00:00:00,2022-03-18,-20С,солнце,00 30,09 15,00 30,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2022-03-19 00:00:00,2022-03-19,-16С,солнце,00 30,09 15,00 30,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2022-03-20 00:00:00,2022-03-20,-16С,солнце,00 30,09 15,00 30,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2022-03-21 00:00:00,2022-03-21,-18С,солнце,00 30,09 15,00 30,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2022-03-22 00:00:00,2022-03-22,-10С,солнце,00 30,09 15,00 30,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2022-03-23 00:00:00,2022-03-23,-12С,солнце,00 30,09 15,00 30,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2022-03-24 00:00:00,2022-03-24,-4С,облачно,00 30,09 15,00 30,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2022-03-25 00:00:00,2022-03-25,-13С,облачно,00 15,09 15,00 15,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2022-03-26 00:00:00,2022-03-26,-9С,солнце,00 15,09 15,00 15,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2022-03-27 00:00:00,2022-03-27,-10С,солнце,00 15,09 15,00 15,09 15,01 55 перезагрузка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2022-03-28 00:00:00,2022-03-28,-4С,снег,00 15,09 15,00 15,09 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2022-03-29 00:00:00,2022-03-29,-13С,солнце,00 15,09 30,00 15,09 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2022-03-30 00:00:00,2022-03-30,-12С,солнце,00 15,09 30,00 15,09 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2022-03-31 00:00:00,2022-03-31,-9С,облачно,00 15,09 30,00 15,09 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2022-04-01 00:00:00,2022-04-01,-9С,солнце,00 00,09 30,00 00,09 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-02 00:00:00,2022-04-02,-4С,солнце,00 00,09 30,00 06,09 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-03 00:00:00,2022-04-03,-2С,ветер,00 00,09 30,00 35,09 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-04 00:00:00,2022-04-04,-5С,снег,00 00,09 30,00 20,09 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-05 00:00:00,2022-04-05,-2С,снег,00 00,09 30,00 00,09 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-06 00:00:00,2022-04-06,1С,облачно,00 00,09 30,00 00,09 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-07 00:00:00,2022-04-07,0С,солнце,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-08 00:00:00,2022-04-08,3С,облачно,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-09 00:00:00,2022-04-09,1C,снег,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-10 00:00:00,2022-04-10,3C,снег,00 00,09 45,00 09,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-11 00:00:00,2022-04-11,-6С,солнце,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-12 00:00:00,2022-04-12,-5C,солнце,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-13 00:00:00,2022-04-13,-8С,солнце,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-14 00:00:00,2022-04-14,-7С,солнце,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-15 00:00:00,2022-04-15,-7С,солнце,00 00,09 45,00 00,09 45,Ремонт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-16 00:00:00,2022-04-16,-3С,пасмурно,00 00,09 45,00 00,09 45,Ремонт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-17 00:00:00,2022-04-17,-2С,солнце,00 00,09 45,00 00,09 45,Ремонт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-18 00:00:00,2022-04-18,-3С,солнце,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-19 00:00:00,2022-04-19,3С,облачно,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-20 00:00:00,2022-04-20,-1С,облачно,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-21 00:00:00,2022-04-21,-4С,облачно,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-22 00:00:00,2022-04-22,-1С,облачно,00 00,09 45,00 00,09 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-23 00:00:00,2022-04-23,-2С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-24 00:00:00,2022-04-24,0С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-25 00:00:00,2022-04-25,-4С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-26 00:00:00,2022-04-26,-6С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-27 00:00:00,2022-04-27,-3С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-28 00:00:00,2022-04-28,1С,пасмурно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-29 00:00:00,2022-04-29,1С,пасмурно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-04-30 00:00:00,2022-04-30,2С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-01 00:00:00,2022-05-01,3С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-02 00:00:00,2022-05-02,5С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-03 00:00:00,2022-05-03,6С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-04 00:00:00,2022-05-04,2С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-05 00:00:00,2022-05-05,-1С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-06 00:00:00,2022-05-06,1С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-07 00:00:00,2022-05-07,9С,солнце,00 00,10 00,00 21,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-08 00:00:00,2022-05-08,11С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-09 00:00:00,2022-05-09,-2С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-10 00:00:00,2022-05-10,-2С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-11 00:00:00,2022-05-11,-1С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-12 00:00:00,2022-05-12,1С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-13 00:00:00,2022-05-13,5С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-14 00:00:00,2022-05-14,7С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-15 00:00:00,2022-05-15,10С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-16 00:00:00,2022-05-16,9С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-17 00:00:00,2022-05-17,12С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-18 00:00:00,2022-05-18,11С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-19 00:00:00,2022-05-19,12С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-20 00:00:00,2022-05-20,15С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-21 00:00:00,2022-05-21,17С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-22 00:00:00,2022-05-22,9С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-23 00:00:00,2022-05-23,10С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-24 00:00:00,2022-05-24,3С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-25 00:00:00,2022-05-25,11С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-26 00:00:00,2022-05-26,15С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-27 00:00:00,2022-05-27,8С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-28 00:00:00,2022-05-28,6С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-29 00:00:00,2022-05-29,2С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-30 00:00:00,2022-05-30,6С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-05-31 00:00:00,2022-05-31,9С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-01 00:00:00,2022-06-01,11С,облачно,00 00,10 00,00 22,10 00,перезагрузка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-02 00:00:00,2022-06-02,10С,облачно,00 00,10 00,00 09,10 00,перезагрузка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-03 00:00:00,2022-06-03,10С,дождь,00 00,10 00,00 07,10 00,перезагрузка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-04 00:00:00,2022-06-04,6С,солнце,00 00,10 00,00 11,10 00,перезагрузка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-05 00:00:00,2022-06-05,10С,солнце,00 00,10 00,00 11,10 00,перезагрузка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-06 00:00:00,2022-06-06,6С,облачно,00 00,10 00,00 00,10 00,03 40 - 04 00 ; 04 20 - 04 30 перезагрузка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-07 00:00:00,2022-06-07,7С,дождь,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-08 00:00:00,2022-06-08,5С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-09 00:00:00,2022-06-09,6С,дождь,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-10 00:00:00,2022-06-10,7С,пасмурно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-11 00:00:00,2022-06-11,7С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-12 00:00:00,2022-06-12,11С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-13 00:00:00,2022-06-13,9С,солнце,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-14 00:00:00,2022-06-14,11С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-06-15 00:00:00,2022-06-15,13С,облачно,00 00,10 00,00 00,10 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
